stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,69.47,24.52,118.51,0,8.17,0,0,24.52,0,0,0,0,24.52,12.26,44.95,192.06,0,0,20.43,805.02,20.43,0,0,0,0,0,0,0
72hpf,1.07,0,1.07,0,2.14,0,0,0,0,0,0,0,0,4.28,0,6.42,0,1.07,17.12,37.44,5.35,3.21,4.28,1.07,0,0,0,0
21Day,5.35,0,6.69,2.68,60.23,13.39,0,0,2.68,1.34,8.03,1.34,8.03,6.69,1.34,5.35,0,2.68,5.35,26.77,1.34,0,1.34,0,1.34,1.34,0,1.34
3Month,0,0,0.32,0,0,0,0,0,0,0.96,0,0.32,0,0,0,0,0,0,0,0,0,3.84,0,0,0,0,0.64,0
22Month,0,0,0,0,0,0.55,0.55,0,6.56,0,0.55,0.55,0,0,1.09,1.09,1.09,0,0,0,0,0.55,0,0,0,0,0,0
