stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,3.21,0,4.28,0,0,0,0,1.07,1.07,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,0,1.34,1.34,1.34,0,0,0,0,0,0,1.34,0,1.34,0,1.34,2.68,0,0,0,0,0,5.35,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0,1.28,0.96,9.28,0,0,0.32,0.32,3.52,2.56,49.91,0.64,0.32,9.28,0,3.2,5.76,4.16,2.24,0.32,1.28,4.48,0.96,0.32,0,0.64,0.32,1.6,17.92,0.64,0.32,1.28,3.84,1.92
22Month,0,0,1.09,3.28,0,0,0,0,1.09,0.55,47.56,0,0,6.01,0,0,4.37,6.01,0,1.09,0,0.55,0.55,0,0.55,0,0.55,0,2.73,0.55,0,0,0,1.09
