stage,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,25.67,1.07,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,8.03,1.34,0,0,1.34,0,0,1.34
3Month,0,1.28,0.32,0.32,0.64,0.32,0.32,0,0.64,0.64,0.64,0.32,0.32,0.32,1.92,0,0.32,0,0.32,9.6,4.16,0
22Month,0.55,0,0,0.55,0,0.55,0,0.55,2.19,0,0,0.55,0,0,0.55,0,0.55,0,0,0,0,0
