stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0,0,0,2.56,0,0,0,0,0.64,0,7.36,0.96,0.32,0.32,0,0.32,0.96,0,0.32,0,0.32,0,0.32,0,0,0,0,0.32,6.4,0,0,0,0,3.2,1.6
22Month,1.09,25.69,14.76,34.44,10.39,0.55,0.55,5.47,13.67,8.75,9706.95,12.57,5.47,37.17,3.28,6.01,26.24,33.89,0,60.13,11.48,3.28,2.19,4.92,12.57,5.47,0.55,8.75,2.19,1.09,1.64,0.55,3.28,0,10.39
