stage,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,0,0,0
3Month,2.56,1.6,0,1.92,0.32,3.84,0.32,8.64,0.32,0.32,0.32,0,0,0.32,1.6,40.31,0.64
22Month,4.92,0,0.55,2.19,0,0,0,5.47,0,0,0,0,0,0,0,0,0
