stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0,0,44.95,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,3.21,2.14,7.49,0,0,0,0,0,0,0,0,0,0,17.12,0,0,0,0,313.45,17.12,0,3.21,0,12.84,0,2.14,0,0,0,0,0,0
21Day,4.02,0,9.37,0,5.35,0,1.34,0,0,0,0,1.34,0,4.02,0,29.45,0,0,0,0,74.96,2.68,26.77,1.34,0,5.35,1.34,1.34,0,0,2.68,0,0,0
3Month,0,0.32,2.56,0,0,0.32,0,0.96,0,9.28,3.84,0,1.6,0.64,1.6,5.76,2.56,0,0,0.64,0.96,0.96,13.76,0.32,0,0,1.6,7.36,0.32,0,0,0.96,0.32,0.96
22Month,0,2.73,4.92,0,0,0,2.19,9.29,1.09,57.4,3.83,2.73,7.65,1.64,3.83,22.96,1.09,3.28,1.64,0,1.64,0,19.68,0.55,0.55,0,1.09,13.67,0.55,0.55,0,0,0,1.09
