stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,5.35,0,0,0,0,0,5.35,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,4.02,0,0,0,0,0,2.68,1.34,0,0,0,0,0,0
3Month,0.96,0.32,15.04,0.32,2.24,0.64,4.48,0.64,1.28,16,1.6,0.32,0.64,0.64,0,27.84,1.92,0.32,0.32,0.64,0.64,0.32,0.64
22Month,0,0,10.93,0,0,0,3.83,0,1.09,6.01,0.55,0.55,0,0,0.55,0.55,0,0,0.55,0,0,0,0
