stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,0,0,0
3Month,0,0.64,1.28,0.32,0,0,0,2.88,0.32,0,1.92,0,0.32,0.96,39.35,0,0,0.32,0,0,0,0,0,3.2,0,0,0.64,0,0.64,0.96
22Month,2.73,1.64,51.39,1.64,2.19,9.29,8.2,66.69,2.73,1.64,7.11,1.64,24.05,16.95,500.19,1.64,1.09,0,26.24,2.19,50.29,1.09,1.09,3.83,3.83,7.11,21.87,0.55,0,4.92
