stage,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell
72hpf,2.14,0,0,0,0,0,0,2.14,1.07
21Day,0,1.34,0,0,0,0,5.35,1.34,1.34
22Month,0,0,0.55,3.28,0.55,0.55,0,0,0
