stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,1.07,27.81,0,0,5.35,3.21,1.07,9.63,0,2.14,2.14,0,0,0
21Day,0,0,0,0,0,0,0,0,2.68,0,1.34,1.34,0,1.34,0,0,0,0,0,0,0
3Month,0.32,0.32,0.64,0.32,0,0,0.32,0,0.32,0,0,0,0,0.32,0,1.28,0,0,0.64,0.32,0.32
22Month,0,0,5.47,0,0.55,0.55,0,0,1.09,0.55,0.55,0,0,0.55,0,4.37,0,0,0,0,0.55
