stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,3.21,1.07,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0
21Day,0,0,0,6.69,1.34,0,0,0,0,0,0,20.08,0,0,5.35,497.93,5.35,0,1.34,0,9.37,1.34,0,1.34,4.02,0,2.68,0,0,61.57
3Month,0,0.32,0.64,4.16,0,0.32,0.96,3.52,0,2.88,3.52,0.96,2.56,0.64,1.6,175.33,4.48,0.96,2.56,0.32,0.96,0,0,0.32,0,3.2,0,0.96,3.84,111.02
22Month,0,0,0,0,0,0,0.55,3.28,0.55,2.73,0,1.09,0,0,1.09,121.9,2.19,0,1.09,0,0,0,0.55,0,1.64,1.09,0,0,0,90.74
