stage,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0,0,0
3Month,2.24,0,0,0,0,4.8,0.32,1.28,0.32,0.64,0.32,0,0.32,0.32,7.68,0.32,0.32,2.88,0,2.24
22Month,1.09,0,0.55,1.09,1.09,20.77,1.09,1.64,0.55,1.64,0,0.55,0,0,2.73,0.55,0,1.09,0.55,0
