stage,Cardiomyocyte,Erythroid_progenitor_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast,Retinal_cell,Retinal_cone_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,4.09,20.43,8.17,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,1.07,0
21Day,0,1.34,0,0,0,2.68,0,0,0,1.34,0,2.68,0,8.03,52.2,2.68
3Month,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0,0,0
22Month,0,0,0.55,2.73,0,0,0,0,0,0,0,0,0,0,0,0
