stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,578.76,1.07,0,8.56,1.07,4.28,0,0,1.07,0,0,1.07,3.21,0,16.05,0,1.07,0,0,25.67,11.77,0,5.35,0,0,0,0,0,0
21Day,103.07,0,0,2.68,0,0,0,0,1.34,0,0,1.34,2.68,1.34,10.71,0,0,1.34,0,2.68,4.02,0,0,1.34,0,1.34,0,0,0
3Month,254.04,1.92,0.32,2.24,0.32,0,0.32,0.96,1.6,0.32,0.64,2.24,1.92,0.64,2.24,0.64,0,0,0.32,0,0,0.32,0,0,0.32,0,0.32,0.64,0.96
22Month,97.85,0,0.55,0,0,0,0,1.64,8.2,0,0,0.55,0,0.55,0.55,0.55,0.55,0.55,0,0,0,0,0.55,0,0,0,0,0,0
