stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,0
72hpf,2.14,1.07,1.07,0,0,0,1.07,5.35,57.77,9.63,0,0,0,0
21Day,0,4.02,0,0,0,6.69,0,13.39,25.43,4.02,4.02,1.34,0,2.68
3Month,0,0.32,0,0,0.32,0,0,0,0,0,0,0,0.32,0
22Month,0,0,0,3.28,0,0,0,0,0,0,0,0,0,0
