stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0
21Day,1.34,0,1.34,1.34,0,0,1.34,1.34,0,8.03,0,1.34,0,1.34,1.34,0,2.68,0,0,1.34,1.34,0,0,0,16.06
3Month,0,5.44,0,0,0.32,1.28,2.24,6.4,6.08,2.24,0.32,0.64,1.28,3.52,0.32,0.32,0.64,0,0,0.32,0.64,3.84,0.32,1.6,40.63
22Month,0,0.55,0,0,0,0,1.64,46.47,0.55,1.64,0.55,0,0.55,4.92,1.64,0,0,0,0.55,0,0,0.55,0,0,14.76
