stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,12.26,4.09,0,0,0,0,36.78,0,0,0,0,0,0,0
72hpf,1.07,0,0,1.07,1.07,0,0,0,0,0,0,0,0,3.21,2.14,0,4.28,0,0,0,8.56,39.58,0,0,0,0,1.07,0,0
21Day,0,0,0,2.68,5.35,0,1.34,0,0,0,0,0,0,1.34,4.02,1.34,2.68,0,0,0,6.69,5.35,1.34,0,1.34,0,0,0,0
3Month,0,0,0,7.36,0,0.32,0.32,1.28,0.32,23.68,0.32,0,2.88,0.64,1.6,1.6,0.64,0,0,0.64,0.32,0,0,0.32,0,1.92,0,2.24,0.96
22Month,0,1.09,0.55,3.28,0,0,0,2.73,2.19,116.44,0,0.55,1.09,0,0.55,1.64,5.47,5.47,1.09,0,0,0,1.64,0.55,0,1.09,0.55,0,1.64
