stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,2.14,0,1.07,6.42,0,1.07,0,2.14,0,0
21Day,1.34,1.34,1.34,1.34,0,1.34,1.34,0,2.68,0,2.68,9.37,0,0,0,0,5.35,0
3Month,0,0,0,0,0,0,0,0,0,0,0,0.32,0,0,0.96,0,0,1.92
22Month,0,0,0,0,3.28,0,0,0.55,0,1.09,0,0,0,0,0,0,0,0
