stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,12.26,12.26,0,0,0,0,0,0,0
72hpf,2.14,0,0,0,0,1.07,0,0,0,43.86,2.14,1.07,1.07,0,0,0,0,0
21Day,2.68,0,0,0,1.34,0,0,0,1.34,10.71,0,0,1.34,2.68,1.34,0,0,0
3Month,0,0.32,0,0.32,0,0.32,0.64,0.32,2.56,0,0,0.32,0,0,0,0.96,15.04,0.96
22Month,0,0,1.09,0,0,0,0,0,0,0,0.55,0,0,0,0,0,0,0
