stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte
24hpf,0,4.09,0,0,0,4.09,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0
21Day,0,0,0,0,0,0,0,1.34,0
3Month,0,0.32,0.32,0.32,0,0,1.6,0,1.6
