stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,12.26,12.26,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,0,0,5.35,1.07,1.07,0,0,0,0,0,0,0,0,1.07,4.28,3.21,8.56,0,0,39.58,13.91,0,0,3.21,0,0,3.21,1.07,0,0,0
21Day,0,0,0,9.37,0,0,0,1.34,0,0,1.34,0,4.02,0,0,1.34,0,5.35,0,1.34,4.02,1.34,0,0,1.34,1.34,0,0,0,0,0,0
3Month,0,0.32,1.6,12.48,0,0,0.32,3.84,0.96,0,6.72,1.6,1.6,7.04,0,3.84,8,1.6,0.32,0,0.32,0,0.32,0.32,0,1.6,42.55,0.32,0,0.64,83.83,0.96
22Month,0,0,1.09,0.55,0,0,0,3.83,0.55,0.55,14.76,0,0,12.03,0,0,5.47,2.19,0,0,0,0,0.55,0,0,0,1.09,2.19,0,0.55,1.09,0.55
