stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,57.21,0,20.43,0,0,0,114.42,8.17,0,0,0,0,0
72hpf,1.07,1.07,0,7.49,0,0,0,0,0,0,2.14,118.75,0,9.63,0,1.07,7.49,24.61,9.63,0,0,1.07,1.07,0
21Day,12.05,0,1.34,9.37,1.34,0,2.68,0,4.02,1.34,2.68,5.35,1.34,13.39,0,2.68,1.34,8.03,16.06,2.68,0,1.34,0,1.34
3Month,0,0,0,0.96,0,0.32,0.64,0,0,0,0,0.64,0,0.32,0,0,0,0,0,0,0.64,0,0,0
22Month,0,0,0,0.55,0,0,11.48,1.09,0,2.73,0,0,0,4.92,0.55,0,0,0,0,0,1.64,0,0,0
