stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,28.6,4.09,0,8.17,0,28.6,0,4.09,0,0,0,0,0,0,8.17,0,24.52,53.12,0,0,0,12.26,106.25,0,0,0,16.35,0,0,0,0,0,4.09,0,0
72hpf,41.72,20.33,0,12.84,2.14,20.33,0,13.91,0,0,2.14,0,7.49,0,3.21,29.95,8.56,17.12,0,1.07,2.14,312.38,51.35,2.14,0,0,17.12,0,0,22.47,59.91,44.93,7.49,0,0
21Day,9.37,8.03,1.34,50.86,1.34,870.05,0,480.53,1.34,0,2.68,1.34,53.54,4.02,4.02,32.12,22.76,34.8,0,0,64.25,128.5,40.16,2.68,2.68,0,22.76,12.05,5.35,32.12,76.3,141.88,1.34,0,40.16
3Month,0.32,2.88,0.32,15.04,0,0,1.28,2.56,0.64,8.32,3.2,17.28,1.28,2.56,1.28,62.07,4.48,1.28,0.32,0.32,9.6,1.6,0.32,0.64,0,0,0,1.28,42.87,0,0.32,0,0,14.08,16
22Month,0,5.47,0,3.83,0,0,3.28,0.55,0.55,7.65,8.2,8.75,4.92,2.19,0,9.84,3.28,2.19,0,1.09,9.29,0,0,1.64,1.09,2.19,0,0,10.93,0,8.75,0,0,0,8.2
