stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,28.6,0,0,0,0,0,0,8.17,0,0,0,0,12.26,0,0,12.26,0,0,0,0,40.86,592.53,44.95,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,10.7,0,10.7,1.07,5.35,0,0,0,0,0,0,0,0,0,3.21,12.84,1.07,16.05,0,2.14,0,0,1144.68,359.45,23.54,0,17.12,0,0,6.42,0,0,0,0,0,0
21Day,6.69,0,0,9.37,0,2.68,0,0,0,0,0,0,0,1.34,2.68,0,1.34,4.02,4.02,0,0,0,0,289.12,49.53,4.02,0,5.35,10.71,0,2.68,0,6.69,1.34,0,0,0
3Month,1.28,0.96,0.32,6.08,0,0,0,0.64,1.6,0,0,6.72,1.28,0.64,1.92,0.64,1.6,2.56,2.56,0,0,0.32,0.32,24.32,5.44,6.4,0,0,0.96,21.76,0,0,0,0,0.32,11.84,2.88
22Month,0,3.83,0,4.92,0.55,0,1.64,1.64,20.23,1.09,0,49.2,14.76,1.09,3.83,0,0.55,9.84,7.65,0.55,1.09,0.55,0,1.64,0.55,1.64,0.55,0,0,26.79,0.55,0.55,0,0,0,0.55,1.09
