stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,3.21,1.07,4.28,0,0,0,0,0,1.07,4.28,1.07,4.28,2.14,590.52,12.84,0,0,4.28,0,0,6.42,67.4,103.77,0,0
21Day,12.05,4.02,13.39,0,8.03,6.69,0,1.34,0,1.34,2.68,4.02,4.02,14.72,0,266.37,4.02,2.68,0,2.68,5.35,0,2.68,101.73,567.54,2.68,1.34
3Month,0,0,0.32,0.32,0,0,0.32,1.6,0.32,0.32,0.32,0.32,0,0,0,0.64,0,0,0,0,0,1.28,0.64,0,0,0,0
22Month,0,0,0.55,0,0,0,0.55,6.01,0,0.55,0,0,0,0.55,0,0,0,0.55,0.55,0,0.55,4.92,0,0,0,0,0
