stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,8.17,4.09,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,20.43,138.94,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,5.35,3.21,0,2.14,4.28,1.07,0,0,0,0,0,0,2.14,0,0,12.84,0,25.67,0,1.07,0,1.07,94.14,67.4,0,5.35,28.88,0,0,10.7,2.14,0,1.07,0,0,0
21Day,9.37,2.68,0,22.76,0,4.02,1.34,0,0,0,2.68,0,20.08,0,1.34,10.71,9.37,40.16,0,0,4.02,0,30.79,28.11,0,1.34,25.43,5.35,0,5.35,1.34,6.69,0,0,0,10.71
3Month,0.32,0.64,0.96,7.36,0,0,0,0.32,1.28,0,11.84,4.16,0.32,2.24,0.64,2.88,10.56,4.16,0.64,0,0.64,2.24,0,0,2.88,0.32,0.32,0.32,15.36,0,0,0,0.32,0.64,7.36,26.24
22Month,1.64,5.47,0,6.56,0,0,0,2.19,5.47,0.55,34.44,2.19,2.73,2.19,0,0.55,23.51,4.37,0,0,1.64,0,0.55,0.55,1.64,1.09,0.55,0,4.37,2.19,0,0,0.55,0,0,14.76
