stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Smooth_muscle_cell
24hpf,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,73.56,0,0,0,0
72hpf,3.21,0,1.07,0,0,0,0,0,0,0,5.35,0,0,4.28,26.74,0,0,1.07,0
21Day,0,0,0,4.02,2.68,0,0,5.35,0,1.34,5.35,0,1.34,1.34,4.02,0,1.34,0,0
22Month,0,2.19,0,0,0,1.64,1.09,0,2.19,0.55,1.64,0.55,0,0.55,0,4.37,0,0,0.55
