stage,Epithelial_cell,Erythrocyte,Hepatocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Retinal_cone_cell
24hpf,0,0,0,4.09,0,0,0,4.09,0,0
72hpf,0,0,0,0,1.07,0,13.91,1.07,0,0
21Day,0,1.34,0,0,0,0,22.76,0,1.34,1.34
3Month,0.96,0,0,0.32,0,0,0.64,0,0,0
22Month,0,0,1.64,0,0.55,0.55,0,0,0,0
