stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,4.28,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,1.92,0.64,4.8,0.32,0.32,0.64,0.96,0,22.08,0.32,0,8,0,3.2,1.6,1.6,0,0.32,0.96,0.32,0,0.32,0,0,14.72,0.32,0.32,0.32,0.32,5.12,1.28
22Month,0,3.83,1.64,2.19,0,0,1.09,1.09,0.55,68.33,0.55,1.64,18.04,1.09,0.55,2.19,1.64,3.28,1.09,0,0,0,1.09,1.09,0,2.19,0.55,0.55,0,1.09,0,0.55
