stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
72hpf,0,0,0,0,1.07,0,1.07,0
21Day,0,0,0,0,0,1.34,0,0
3Month,0.64,0,0,0.32,0,0,0,0.32
22Month,4.37,0.55,1.64,0.55,0,0,0,0
