stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,4.09,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,0,0,0,0,1.07,0,1.07,1.07,1.07,3.21,0,0,0,6.42,3.21,0,0,0,0,0,0,0,0,0,0
21Day,0,0,2.68,0,2.68,0,0,0,0,0,0,9.37,0,0,0,2.68,2.68,0,0,0,4.02,1.34,0,0,1.34,0,0,0,0,0,0,5.35
3Month,0,0.32,3.52,0.32,0,0.32,0.96,3.84,0,11.2,9.92,0.64,1.28,1.28,0.32,77.43,0.96,0.32,0,0.96,0,0,0,0,0,0.96,4.16,0,0,0.32,1.92,4.8
22Month,0,0,1.09,0,0,0,0.55,5.47,0.55,25.15,2.19,1.09,1.64,0,0,34.44,2.19,0,1.09,0,0,0,1.09,2.19,0.55,0.55,4.37,0.55,0.55,0.55,0,1.64
