stage,Cardiomyocyte,Endothelial_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,4.09,0,20.43,0,0,0,0
72hpf,1.07,1.07,0,0,0,0,0,1.07,6.42,5.35,1.07,3.21,0,0
21Day,1.34,0,0,0,0,1.34,0,4.02,0,2.68,2.68,0,1.34,0
3Month,0,0,0,0,0.32,0,0.32,0,0,0,0,0,0,0.32
22Month,0,0,0.55,0.55,0,0,0,0.55,0,0,0,0,0,0
