stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,16.35,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,281.96,0,12.26,0,0,0,0,0,0,0
72hpf,0,0,11.77,1.07,0,0,0,0,0,0,0,2.14,0,16.05,0,0,0,19.26,14.98,0,37.44,0,0,6.42,2.14,0,0,0
21Day,1.34,2.68,14.72,0,0,0,0,2.68,0,0,0,4.02,0,36.14,0,0,0,6.69,8.03,0,24.09,1.34,1.34,0,2.68,0,0,0
3Month,0,2.88,6.08,0,0.96,0,3.84,1.28,0,1.92,0.32,10.56,0.96,11.52,2.24,0.32,0.32,0,0,0.64,0,0,1.6,0,0,0.32,0.96,0
22Month,0,1.09,0,0,0,1.09,8.2,0,0.55,0,0,1.64,1.64,6.56,0.55,0.55,0,0,0,0.55,0,0,0.55,0,0,0,0,0.55
