stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,36.78,0,919.44,0,0,0,0,0,0,0,0,0,0,12.26,0,130.76,0,0,12.26,486.28,0,0,4.09,0,0,0,0,8.17,0,0,0
72hpf,3.21,0,193.63,1.07,6.42,0,0,0,0,0,0,0,0,498.52,0,108.05,0,0,73.82,13.91,1.07,0,20.33,0,0,4.28,1.07,2.14,0,0,0
21Day,8.03,0,259.68,0,4.02,0,0,0,0,1.34,2.68,0,2.68,176.69,0,89.68,0,4.02,20.08,9.37,0,1.34,20.08,2.68,2.68,0,6.69,1.34,0,0,1.34
3Month,0,0.96,16.96,0,0,0.32,1.6,0.64,0,3.84,0,0.64,0.96,74.55,1.28,2.88,0,0.96,0.96,0,0,0,0,1.28,12.16,0,0,0,0.64,18.88,0.64
22Month,0,0.55,5.47,0,0,0,0,0,7.65,2.19,0,1.64,0,14.76,1.64,0,0.55,0,1.64,0,0.55,0,0,0,2.73,0,0,0,0,0,0
