stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,4.09,0,8.17,0,0,0,0,0,8.17,0,0,0,0,4.09,0,4.09,16.35,0,0,0,12.26,167.54,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,0,2.14,0,2.14,0,0,0,0,0,0,0,0,0,0,0,4.28,0,3.21,0,0,0,12.84,14.98,0,0,0,0,0,1.07,0,1.07,0,0,0
21Day,1.34,0,0,16.06,4.02,1.34,0,0,0,0,0,0,0,0,0,2.68,0,8.03,0,0,0,5.35,4.02,0,0,2.68,0,0,0,1.34,0,0,0,2.68
3Month,0,1.28,0.96,13.76,0,0.32,0.32,3.84,2.24,0,13.76,1.92,0.96,13.44,0.32,6.08,0.96,2.24,1.28,1.92,1.92,2.24,0,1.6,0.32,0,0.64,20.48,0,0,0,1.6,8.96,3.84
22Month,0,2.73,1.64,4.37,0,0,0,0.55,0.55,0,14.76,3.28,1.09,12.57,0,0,1.09,3.28,0,0.55,0,0.55,0,1.09,0.55,0,0,2.73,0,0,0,0.55,0,0.55
