stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,4.09,0,8.17,12.26,0,0,0,0,12.26,204.32,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,7.49,4.28,0,1.07,0,0,0,0,0,0,0,2.14,3.21,0,4.28,0,1.07,2.14,0,24.61,18.19,1.07,0,0,1.07,1.07,1.07,0,0
21Day,5.35,0,0,4.02,2.68,0,1.34,0,0,0,0,0,6.69,0,0,2.68,0,2.68,0,0,0,1.34,2.68,1.34,0,0,0,0,0,0,0,4.02
3Month,0,0,0,15.36,0.96,0.64,0,0.32,0.96,0,6.08,3.52,0.64,1.6,6.4,0.96,4.16,0.96,0.32,0.32,1.28,0.96,3.52,0,0.64,0.64,0.96,85.75,0.96,0.32,25.6,4.16
22Month,0,0.55,0.55,5.47,0,0,0.55,0.55,1.64,2.73,14.21,0.55,0.55,2.73,0.55,0,0.55,0.55,0,0,0.55,0,0.55,0,0.55,0,0,0,0.55,0.55,0,1.64
