stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,0,0,0,0,0,0,0,0,2.68,0,0,0
3Month,0.64,0.32,0.32,0,0,22.4,0,1.28,0.32,0,0.32,0,0.96,0.32,0
22Month,0,0,0,0.55,0.55,9.29,0.55,0.55,0,0.55,0,0,0.55,0,0.55
