stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,5.35,5.35,0,1.34,0,1.34,0,16.06,0,1.34,72.28,0,4.02,0,12.05,0,0,1.34,0,10.71,0,0,0,1.34,5.35,0,0,1.34,0,0,0,0
3Month,0,2.88,10.24,35.83,0,5.12,0.64,11.2,8,0.32,1797.16,15.68,0.32,403.14,6.08,11.84,11.2,16.64,2.88,2.88,6.08,4.8,1.6,2.88,2.56,0,0.32,38.71,6.72,0.96,0,0.32,4.8,4.48,10.24
22Month,0.55,10.93,11.48,19.68,0,6.56,0.55,9.29,12.03,5.47,3373.95,3.28,3.28,291.91,2.73,2.73,10.93,13.12,0,41,7.11,0,0,2.73,3.83,8.75,0.55,4.37,1.09,1.09,1.64,0,0.55,0,8.2
