stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,143.02,12.26,0,20.43,0,277.88,0,32.69,0,0,0,0,0,4.09,0,0,4.09,28.6,130.76,0,0,0,0,65.38,73.56,0,0,0,0,0,0,0,0,0,8.17,0,0
72hpf,289.91,14.98,0,23.54,1.07,2966.53,0,67.4,0,0,0,1.07,0,4.28,0,1.07,31.02,0,29.95,0,0,9.63,1.07,123.03,37.44,0,1.07,0,90.93,1.07,0,2.14,0,2.14,18.19,0,0
21Day,389.51,2.68,2.68,49.53,5.35,7863.88,0,1603.56,0,2.68,0,6.69,4.02,45.51,4.02,5.35,34.8,28.11,60.23,0,0,72.28,0,100.39,28.11,0,4.02,0,96.37,125.82,1.34,2.68,1.34,68.27,1.34,0,14.72
3Month,3.84,5.76,0,43.83,0,0,49.59,39.99,1.28,1.92,2.88,16.32,3.2,1.28,5.76,1.28,5.76,3.2,5.76,0.64,0,5.44,1.28,0.96,0.32,0,0.32,0,0,1.28,11.84,0,0,0,0,15.04,3.84
22Month,1.09,6.01,4.92,25.69,0.55,0,54.12,34.99,0.55,5.47,3.83,66.69,1.64,4.92,4.37,0.55,2.19,6.01,3.28,0,2.19,7.11,0.55,1.64,1.09,0.55,2.19,0.55,0,0.55,13.67,1.09,0,0,0,0,4.37
