stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,T_cell
21Day,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0,2.68,1.34,0,0,0,8.03
3Month,2.24,0.64,1.6,0,0,0.64,1.6,0.96,0.64,0.32,0.32,41.91,5.12,0.96,0,0.64,0,0,0,0.96,0.32,83.19
22Month,0.55,0,1.09,0,1.09,4.37,182.04,1.09,1.64,0.55,0,21.87,2.19,0,0.55,0.55,0,0,0.55,3.28,0.55,78.72
