stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,49.04,8.17,49.04,0,16.35,0,0,4.09,4.09,0,0,4.09,28.6,24.52,53.12,0,0,0,49.04,9051.39,0,0,12.26,0,0,0,0,0,0,0
72hpf,43.86,4.28,10.7,6.42,25.67,0,0,0,0,0,1.07,5.35,34.23,1.07,49.21,1.07,1.07,1.07,776.67,4025.62,1.07,1.07,80.23,1.07,0,330.57,9.63,0,1.07,0
21Day,16.06,4.02,32.12,0,30.79,6.69,0,0,4.02,9.37,20.08,1.34,33.46,6.69,42.83,0,0,0,231.57,1952.92,1.34,0,20.08,73.62,0,89.68,1.34,13.39,6.69,4.02
3Month,0.96,0,0.32,0,0,0,0.32,0,0.32,0,0,0.32,0,0,0.96,0,0,0,0,0.96,0,0,0,0,0.32,0,0,0,0,0.32
22Month,0,0,0,0,0,0,0,0,2.73,0,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0,0,0
