stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,1.07,0,0,0,0,0,0,0,1.07,0,0,0,50.28,1.07,0,2.14,4.28,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,0,0,0,0,1.34,0,20.08,2.68,0,1.34,1.34,1.34,0,5.35,1.34,0,1.34
3Month,0,1.28,0,0,4.48,0.64,0.64,0.32,0.32,0,0,0.32,0,0,0.32,0,0,0,4.8,0,0,11.84,0.64
22Month,0,0,0,0.55,4.92,0,0,0,0,0.55,0,0,0,0,0,0,0,0,0.55,0,0,0,0
