stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,28.6,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,0,0,0,0,0,0,0,2.14,9.63,0,2.14,1.07,16.05,2.14,3.21,2.14,1.07,0,2.14,0,0,0
21Day,2.68,13.39,2.68,0,0,0,0,0,0,0,12.05,0,5.35,0,10.71,0,0,2.68,0,0,1.34,1.34,0,0
3Month,0,2.24,0,0.96,0,0.96,0.32,0,1.92,0,0.32,0.64,0.32,0,0.32,0,0,0,0,1.92,0,0,0.96,0.64
22Month,0,1.64,0,0,1.09,3.83,0,0.55,1.64,0,1.09,1.09,2.19,0.55,0,0,1.09,0,0,0,0.55,0,0,0.55
