stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia
24hpf,20.43,4.09,24.52,4.09,20.43,44.95,8.17,347.34,0,8.17,0,0,0
72hpf,1.07,0,0,0,0,1.07,14.98,1.07,0,1.07,0,0,2.14
21Day,0,0,1.34,0,0,2.68,13.39,0,0,2.68,1.34,1.34,0
3Month,0,0,0,0,0.32,0,0,0,1.28,0,0,0.96,0
