stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,269.59,1.07,0,0,3.21,0,0,0,0,0,0,0,3.21,1.07,4.28,0,1.07,22.47,5.35,0,3.21,0,0,3.21,0,0,0,0
21Day,204.8,0,9.37,1.34,4.02,0,1.34,0,0,2.68,0,0,4.02,2.68,5.35,0,0,8.03,2.68,0,0,1.34,0,0,1.34,0,0,0
3Month,19.2,0.64,2.88,0,0,0.32,0.32,2.88,0.32,0,1.6,0,0.64,0.64,0.64,0.32,0,0.32,0,0,0.32,0.32,24.96,0,0,0.32,2.56,0.64
22Month,1.09,0.55,2.73,0,0,0.55,1.09,7.65,1.09,1.09,0.55,0.55,1.09,2.73,0,0,0,0,0,1.64,0,0,18.59,0.55,0,0,0,0.55
