stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.6,12.26,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,31.02,5.35,11.77,12.84,14.98,0,0,1.07,0,1.07,0,1.07,0,4.28,25.67,4.28,17.12,2.14,0,2.14,2978.3,87.72,1.07,6.42,34.23,1.07,0,28.88,6.42,1.07,2.14,0,0,0
21Day,5.35,4.02,21.42,21.42,20.08,2.68,0,0,0,1.34,0,1.34,4.02,0,14.72,4.02,9.37,0,1.34,1.34,587.62,12.05,1.34,9.37,5.35,9.37,0,2.68,1.34,12.05,2.68,0,0,2.68
3Month,0,0,8.96,6.4,0,0,0.32,0.96,0,6.08,1.92,0,1.92,0.64,1.28,1.28,4.48,0,0.32,3.84,9.92,0.32,3.52,0,0,0.96,9.6,0,0.64,0,1.28,0.64,7.36,0.96
22Month,0,2.19,1.09,1.09,0,0,0.55,1.64,0.55,28.43,0.55,0.55,2.73,0,1.09,0.55,4.92,1.09,1.64,0,8.2,0.55,10.39,0.55,0.55,0,20.23,0.55,0.55,0,0,0,1.09,2.19
