stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0,0,1.07,28.88,0,1.07,0,0,6.42,1.07,0,0,1.07,3.21,0,0,2.14,0,0,0
21Day,1.34,0,6.69,60.23,0,2.68,0,1.34,0,0,0,0,1.34,6.69,1.34,10.71,0,0,0,0,5.35,2.68,1.34,0,0,0,1.34,0,10.71,0,0,0
3Month,0,0,5.44,36.79,0,0,1.28,8,0.32,0,3.52,0.32,0,47.99,0,3.2,2.24,1.92,2.24,0.64,0,0,0.32,0.32,0,0.96,26.24,0,0,0.32,0.96,0.96
22Month,0,0.55,1.09,7.11,0,0,0,1.64,1.09,1.09,21.87,0.55,0,18.04,0,0.55,0,0,2.19,0,0.55,0,0,0,0,0,1.64,0.55,0,0,0,0.55
