stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,0,0,12.26,0,0,0,0,4.09,0,0,0,0,0,4.09,12.26,0,0,0,0,0,4.09,65.38,0,0,4.09,0,0,0,0,0,0
72hpf,1.07,2.14,0,0,1.07,0,0,0,0,1.07,0,0,0,5.35,1.07,0,6.42,0,1.07,0,1.07,17.12,5.35,0,0,9.63,0,0,2.14,1.07,0,0
21Day,1.34,0,2.68,4.02,5.35,0,0,0,0,0,0,10.71,0,0,2.68,1.34,26.77,0,0,5.35,0,13.39,10.71,0,0,2.68,2.68,0,2.68,0,0,0
3Month,0,0.96,0,4.16,0,0.96,1.6,0,0,1.92,0.64,0.32,0.96,0.32,2.88,2.56,0.96,0.32,0.32,0.64,0.32,0,0.32,0.32,0.64,0,0.32,0.96,0,0,1.28,0.32
22Month,0,1.64,0,3.28,0,0.55,1.09,0.55,0,5.47,0,0,0,0,0,0,0.55,0,0,0,0,0.55,0,0.55,0,0,0,0,0,0,0,0
