stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,0,0,1.07,0,68.47,4.28,0,0,0,1.07,0,0,0,0,1.07,0,0,0
21Day,1.34,0,2.68,1.34,0,0,0,1.34,0,0,0,2.68,0,0,2.68,0,0,0,0,66.93,2.68,1.34,0,0,4.02,1.34,0,1.34,2.68,1.34,0,0,0
3Month,0,0.32,2.88,0,0,0.64,0.96,0.96,0,4.48,1.28,0,2.24,0.32,0.96,0.96,1.92,0.32,0,0.32,0,0.32,0.32,0,0,0.32,3.2,0,0,0,0,0.32,1.6
22Month,0,0.55,2.19,0,0,0.55,1.09,1.09,1.09,44.28,0,1.09,6.56,0.55,1.09,2.73,2.19,1.64,0.55,1.09,0,1.64,0,0.55,0,0,3.28,0,0,0,0.55,0,0
