stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,2.14,0,0,0,0,0,0,0,0,0,6.42,3.21,0,13.91,0,0,0,0,9.63,4.28,0,0,21.4,0,0,0,0
21Day,0,0,2.68,0,1.34,0,0,0,0,0,0,0,0,0,10.71,2.68,1.34,57.56,0,0,0,0,5.35,1.34,1.34,0,14.72,0,0,0,0
3Month,0,0,8.32,0.32,0,0,0.32,0.64,0.96,0,9.28,0.32,0,0.96,4.48,1.6,0.64,7.36,1.6,0,0.96,0.32,0.64,0,0.32,0.32,0.32,0.96,0.64,0.32,0.64
22Month,1.09,0.55,4.92,0,0,0.55,0,0.55,0.55,2.19,24.6,1.09,0.55,1.64,1.09,1.64,2.73,12.03,1.09,0.55,0,0.55,0,0.55,1.09,0,0,0,0,0,0.55
