stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,0,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,1.34,0,0,8.03,0,0,0,4.02,0,1.34,8.03,0,0,0,8.03,0,0,0,0,2.68,1.34,0,0,1.34,0,0,1.34,0,0,12.05
3Month,0,0,0,8.64,0.32,0.64,0.32,66.23,4.48,31.04,2.88,2.88,0.96,0.64,24.32,2.88,0.32,0.32,1.28,0,0,0.64,0.32,0,1.6,3.2,0,1.28,9.28,26.56
22Month,0,1.64,0.55,5.47,0,0.55,1.09,138.3,13.12,32.8,13.67,0,0,0,47.56,1.64,0,0,0,0,0,0,0,0,0,0,0.55,0,0,18.04
