stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,8.17,0,0,0,0,4.09,0,0,0,0,0,4.09,0,16.35,122.59,0,0,0,8.17,245.18,0,0,114.42,0,0,0,0,0,0,0
72hpf,5.35,0,2.14,1.07,0,0,1.07,0,0,0,0,0,3.21,7.49,0,82.37,0,1.07,0,20.33,24.61,0,0,181.86,0,0,3.21,85.58,0,0,0
21Day,9.37,0,2.68,0,0,0,2.68,0,0,0,0,0,0,0,0,69.6,0,0,0,5.35,8.03,0,0,24.09,6.69,1.34,0,28.11,0,0,0
3Month,0,1.28,2.56,0,0.32,0.64,38.71,0.32,4.8,0.64,0.32,2.56,0,0.96,0.96,16.64,0.64,0,1.28,0.64,0,0.64,0.96,0.32,0.32,40.63,0,0.96,1.92,0.64,0.32
22Month,0.55,1.09,0.55,0,0,0,61.23,0.55,4.92,0.55,0.55,0.55,0,0,1.64,9.84,0.55,0.55,0,0,0,0,0,0.55,0,4.37,0,0,0.55,0,0.55
