stage,Endothelial_cell,Epithelial_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,8.56,0,0,1.07,2.14,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,0,1.34
3Month,0.32,0,0.64,1.28,0.32,0.32,0.32,0.64,0,0,0,0,2.88,0.32,0
22Month,0,0,0,0,0,0,0,0,0,0,0.55,0,0,0,0
