stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,0,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,85.81,12.26,0,0,0,4.09,28.6,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,10.7,1.07,2.14,0,0,0,0,0,0,1.07,0,2.14,1.07,0,4.28,0,1.07,0,8.56,8.56,0,0,4.28,0,0,3.21,0,0,0
21Day,1.34,2.68,0,22.76,0,0,0,4.02,4.02,0,0,0,14.72,1.34,0,2.68,14.72,10.71,0,0,5.35,0,2.68,0,0,2.68,0,0,1.34,1.34,0,2.68
3Month,0,0.64,0,5.44,0,0,0.32,0.64,7.36,0,5.44,5.12,1.92,0.96,0,1.92,9.28,0,0.32,0.32,0.64,0,0.32,0.32,0.32,0,0.96,1.28,0,0,1.6,0.64
22Month,0,0,0.55,6.56,0.55,0,0,0,21.87,24.05,27.88,2.19,2.73,1.64,0,0,7.65,2.73,0.55,0.55,1.09,0,0,0,0,0.55,0.55,0,3.83,0,0,0
