stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.69,4.09,0,0,0,0,4.09,20.43,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,3.21,0,0,0,0,0,0,0,0,1.07,0,0,2.14,7.49,10.7,0,0,0,0,21.4,7.49,0,0,1.07,0,0,1.07,2.14,1.07,1.07,0,0,0
21Day,9.37,0,0,9.37,1.34,2.68,1.34,0,0,0,1.34,1.34,8.03,1.34,0,4.02,21.42,16.06,0,0,0,0,9.37,12.05,0,0,2.68,4.02,0,0,0,0,1.34,0,0,4.02
3Month,0,0.64,0.64,9.28,0.32,0,0,2.24,16.32,0,12.8,41.27,0.32,2.88,1.28,1.6,24.96,2.24,0.32,0,5.12,0.32,0.96,0,0.64,0.32,0,0.64,0.64,3.52,0,0,0,1.28,0.32,7.68
22Month,0.55,1.64,0.55,6.56,0,0,1.09,1.64,47.01,1.09,32.25,28.97,4.37,1.64,0.55,1.64,34.44,7.11,0,2.19,4.92,0,1.64,0,0.55,2.19,0,0,0,3.28,0,0,0,0,0,3.83
