stage,Cardiomyocyte,Epithelial_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Osteoblast
24hpf,0,0,0,0,4.09,0,0,0,0
72hpf,0,0,1.07,0,0,1.07,0,1.07,0
21Day,1.34,1.34,0,2.68,0,0,1.34,0,1.34
