stage,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,14.98,1.07,0,0,0,0,0,0
21Day,0,0,4.02,0,0,0,0,0,0,0,0,0,0,0,0,8.03,0,0,0,2.68,0,0,0
3Month,0.96,0.32,28.48,0,0.32,0,2.24,1.28,1.92,1.28,0.96,0.32,0.32,0,0.32,0.96,0,0.32,0.64,3.84,0.32,0.64,0.32
22Month,0,0,18.59,1.09,2.19,0.55,14.21,0.55,2.73,1.09,0,0.55,2.73,1.09,0,0,0,0,0,8.2,0.55,0,0
