stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,24.52,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,12.26,8.17,0,0,0,0,20.43,2149.45,0,0,4.09,0,0,0,0,0,0,0,0
72hpf,39.58,2.14,0,3.21,7.49,10.7,0,0,0,0,0,0,0,1.07,0,1.07,22.47,4.28,95.21,0,0,6.42,0,1009.88,835.51,0,5.35,89.86,0,0,70.61,4.28,2.14,1.07,0,0
21Day,57.56,0,1.34,10.71,0,20.08,2.68,0,0,0,0,2.68,0,33.46,1.34,2.68,10.71,0,119.13,0,0,10.71,0,302.51,335.97,6.69,4.02,56.22,16.06,0,60.23,5.35,13.39,6.69,0,4.02
3Month,0.64,0.64,0,8,0.64,0,0,0.96,1.6,1.6,0,6.4,0.64,0.32,2.24,0.32,2.24,0.96,41.59,0.96,0,0.96,0.64,8.32,2.88,2.56,6.4,0.64,0.64,12.48,11.84,0,0,0.64,4.8,2.24
22Month,0.55,0.55,0,8.75,0.55,0,0,0,0,2.19,2.19,32.8,1.09,0,2.19,0,0.55,2.19,24.05,0,1.09,0,0.55,6.01,1.64,2.73,0,1.09,0.55,19.68,33.35,0,0,1.64,0,0.55
