stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,69.47,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.35,1.07,0,0,0,0,0,0,0,0,13.91,2.14,0,0,3.21,0,6.42,6.42,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,4.02,13.39,6.69,0,0,0,0,115.11,0,2.68,0,1.34,6.69,9.37,8.03,1.34,2.68,16.06,9.37,0,1.34,2.68,0,0,2.68,0,2.68,0,0,1.34
3Month,0,1.28,1.28,6.4,0,1.28,1.28,1.92,0.32,453.05,2.88,0,9.92,0.96,1.28,4.48,2.88,0.64,2.24,0,0,0.32,0,8.32,1.6,1.92,0.32,0,0,0.32,2.88,2.24
22Month,0.55,2.19,0.55,3.28,0,2.19,0,2.73,0,569.07,1.64,0.55,1.64,0,0.55,4.37,2.19,17.49,1.09,0,0,0,0,0.55,0,0.55,0,0.55,0,0,0,0.55
