stage,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,1.07,0,0,1.07,0,0,73.82,40.65,0,0
21Day,0,6.69,6.69,0,0,0,0,0,0,1.34,0,1.34,1.34,2.68,8.03,2.68,34.8,5.35,0,4.02,6.69,1.34,0,199.44,516.67,2.68,0
3Month,0,0,0,0.32,0,0,0,0.32,0,0,0.64,0.32,0,0.64,0,0,0.32,0,0,0,0,0,0.96,1.28,0,0,0
22Month,0.55,1.64,0,0,0.55,2.19,2.19,21.32,1.09,0,19.68,0,0,1.09,1.64,0,0,0,0.55,0,0,0,0,131.2,0,1.09,0.55
