stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,8.17,12.26,0,0,0,44.95,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,5.35,0,0,0,0,0,0,0,0,0,0,1.07,1.07,0,5.35,0,0,5.35,8.56,0,0,6.42,0,0,1.07,11.77,18.19,0,0,0,0
21Day,0,0,0,4.02,1.34,4.02,0,0,0,0,0,0,0,2.68,0,5.35,0,5.35,0,0,0,0,0,0,0,2.68,0,0,18.74,93.7,0,0,0,1.34
3Month,0,0.64,0.64,7.68,0.32,0,0.32,0.32,0.96,0,8.96,2.24,0.32,3.52,0.32,9.6,1.6,0.32,0,1.6,0,0,0.32,0.32,0,0.64,6.08,0,0.32,0,0,0.96,0.64,0.96
22Month,0,1.09,0,0.55,0,0,0.55,1.09,3.83,1.64,16.4,0,0,4.37,0,1.09,1.64,0.55,0.55,0,0.55,0,0,0,0,0,2.19,0,0,0,0.55,0,0,0
