stage,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,8.17,0,4.09,0,28.6,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.34,0,0
3Month,1.92,0.32,2.56,0.32,0,12.8,0.32,16.64,0.32,0,0.32,0.32,0,0,0.64,0.32,3.84,0.64,0.32
22Month,0.55,0,1.64,0,0.55,9.84,0,6.01,0,0,0.55,0,0.55,0,0,0,0.55,0,0
