stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,36.78,0,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,4.28,1.07,1.07,0,0,0,0,0,0,1.07,2.14,0,4.28,0,0,0,480.34,25.67,0,1.07,2.14,0,0,5.35,0,0,1.07,0,0
21Day,1.34,0,0,5.35,0,6.69,0,1.34,0,0,0,2.68,0,4.02,1.34,2.68,0,0,0,220.86,5.35,1.34,4.02,0,6.69,1.34,0,1.34,2.68,1.34,0,0
3Month,0.32,0,0.32,3.84,0,0,2.24,0,4.8,0,0,5.44,0.64,0.64,0.32,2.24,0.32,0.64,1.92,1.6,0,2.24,0.32,0.32,0.96,25.28,0.64,0,0,0,29.76,0.64
22Month,0,0.55,0.55,0,0,0,0.55,0.55,4.37,0.55,0.55,0.55,0,0,2.19,0.55,0,0,0,0,0,0,0.55,0,0,1.09,0,0,0,0,0,0
