stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,12.26,0,0,0,0,0,0,0,0,0,0,8.17,0,0,73.56,0,0,0,0,0,0
72hpf,2.14,1.07,0,0,2.14,0,0,0,0,0,0,1.07,0,0,4.28,0,5.35,16.05,7.49,0,2.14,0,0,0
21Day,1.34,2.68,1.34,2.68,0,1.34,0,0,0,1.34,0,0,1.34,1.34,12.05,0,1.34,8.03,6.69,0,0,0,0,1.34
3Month,0,0,0,0.96,0,0,0.32,0.32,1.28,0,0.32,0,0,0,0,0.96,0.32,0,0,0.96,0,0.32,0.32,0.64
22Month,0,0.55,0,2.73,0,0,0,0,2.73,0,0,0,0,1.09,1.09,0,0,0,0,0,0,0,0,0.55
